TWA\TWS;0;2;4;5;6;7;8;9;10;12;14;16;18;20;22;24;25;26;28;30;32;34;35;36;37;38;39;40;41;42;44;46;48;50;60;70
120;0;2.03;4.27;6.26;7.26;7.9;8.96;9.82;10.67;12.802;15.186;16.65;19.198;20.311;20.311;21.528;21.081;22.079;21.642;21.861;21.518;20.831;19.573;18.411;17.664;16.754;15.614;14.94;14.48;13.95;13.06;12.26;11.27;10.24;6.53;3.07
125;0;1.71;4.27;5.84;7.04;7.68;8.75;9.71;10.67;12.902;15.073;16.203;18.751;20.082;19.978;21.31;21.195;22.308;21.414;21.642;21.31;20.623;19.375;18.318;17.664;16.754;15.614;14.94;14.4;13.95;13.06;12.19;11.27;10.24;6.49;3.07
130;0;1.49;4.16;5.4;6.94;7.47;8.64;9.39;10.67;12.58;14.971;15.974;18.2;19.978;19.864;21.081;21.195;22.526;21.081;21.528;21.091;20.415;19.178;18.122;17.664;16.754;15.614;14.94;14.48;13.95;13.06;12.26;11.27;10.24;6.53;3.07
135;0;1.28;3.73;4.93;6.3;7.04;8.11;8.96;10.56;11.723;14.418;15.642;17.815;19.323;19.531;20.748;21.195;22.308;20.748;21.195;20.883;20.218;18.98;17.926;17.664;16.754;15.614;14.94;14.4;13.95;13.06;12.19;11.27;10.24;6.49;3.07
140;0;0.96;2.88;4.55;5.66;5.98;7.04;8.32;9.92;10.967;13.875;15.205;17.15;18.262;18.886;19.864;20.977;21.195;21.31;21.31;20.665;20.01;18.772;17.73;17.664;16.754;15.614;14.94;14.4;13.95;13.06;12.19;11.27;10.24;6.49;3.07
145;0;0.75;2.24;4.16;5.12;5.34;6.62;7.68;9.18;9.899;13.005;14.539;16.234;17.191;17.867;18.98;20.082;20.727;20.748;20.862;20.238;19.604;18.377;17.348;17.101;16.205;15.08;14.51;13.98;13.46;12.68;11.83;10.93;9.92;6.32;2.97
150;0;0.64;1.49;3.73;4.59;4.8;5.98;6.72;8.43;8.709;12.237;13.426;15.163;15.902;16.598;17.753;19.084;19.926;20.311;20.415;19.812;19.188;17.982;17.152;16.63;15.758;14.636;14.08;13.57;13.14;12.29;11.46;10.58;9.67;6.1;2.88
155;0;0.53;0.96;3.41;3.95;4.48;5.34;5.76;7.79;7.963;11.581;12.428;13.988;14.643;15.465;16.754;17.867;18.418;19.157;19.531;19.011;18.46;17.368;16.275;15.596;14.752;13.759;13.15;12.73;12.33;11.52;10.81;9.97;9.03;5.72;2.71
160;0;0.43;0.75;2.99;3.52;4.16;4.91;4.8;7.04;7.318;10.926;11.544;10.982;13.686;14.456;15.756;15.943;15.642;17.576;17.316;17.482;16.765;15.829;15.201;14.582;13.879;12.933;12.36;11.98;11.59;10.83;10.16;9.36;8.51;5.38;2.54
165;0;0.43;0.64;2.67;3.09;3.41;4.48;4.16;6.3;6.536;9.827;10.118;9.466;12.811;12.872;14.474;13.933;13.607;15.127;15.239;16.218;15.545;14.586;13.594;12.923;12.308;11.496;11.11;10.78;10.37;9.79;9.19;8.46;7.75;4.91;2.3
170;0;0.32;0.53;2.35;2.67;3.2;3.84;3.41;5.66;6.08;8.64;8.64;8.22;11.58;11.8;12.7;11.95;11.84;13.02;13.12;13.86;13.3;12.5;12.09;11.42;10.94;10.21;9.84;9.5;9.13;8.64;8.14;7.57;6.94;4.4;2.07
175;0;0.21;0.43;1.81;2.13;2.77;3.31;2.56;4.91;5.34;6.94;7.47;7.04;10.24;10.88;11.2;10.24;10.03;10.78;10.88;11.31;10.87;10.23;10.06;9.53;9.1;8.51;8.19;7.87;7.56;7.02;6.61;6.15;5.62;3.66;1.73
180;0;0.21;0.32;1.17;1.6;1.71;1.92;1.81;2.77;3.84;4.37;5.44;4.59;5.34;5.23;6.83;6.94;6.19;7.58;7.68;6.01;5.83;5.49;5.08;5.39;5.07;4.77;4.63;4.42;4.28;3.95;3.62;3.32;3.09;2.02;0.98
